Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
White Out,,,,,,,,,,1573456527,,A1WDZ8BWHAF6L2,Chrissy Wilson,4/4,5.0,1005091200,You Never Want to put it DOWN!,"I really love this book!! Something is allways happening!Deputy Sheriff Raif Quanan is great at his job and protecting other people no matter the cause!I have read three other books of Robert Marcum's(trying to get his others!) and I personally think this is him at his best! (though I do Love his other books too!)Terri is great for him,and there when he needs her."
"Just Plain Folks: Original Tales of Living, Loving, Longing, and Learning, As Told by a Perfectly Ordinary, Quite Commonly Sensible, and Absolutely Awe-Inspiring colore",,,,,,,,,,0316460842,,,,2/2,4.0,945129600,Great stories,"Ms. Johnson-Coleman is a fabulous story teller and relater of the human condition. I'm not African American, but I am Southern, and I really enjoyed wandering around in her paintings and learning about all of these people. There were some uncomfortable and definitely painful moments, but I think I have a better understanding of the present because of them."
Dawn's Big Move (Baby-Sitters Club (Pb)),"A brand-new Baby-sitters Club graphic novel adapted by Gabriela Epstein Stacey McGill is moving back to New York That means no more Stoneybrook Middle School, no more Charlotte Johanssen, and worst of all... no more Baby-sitters Club. Stacey's friends are crushed when they hear that Stacey's moving, especially Claudia. Stacey was her first best friend. What kind of going-away present is good enough for someone so special? How will the BSC go on without Stacey?",['Ann M. Martin'],http://books.google.com/books/content?id=FKdZzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=FKdZzgEACAAJ&dq=Dawn%27s+Big+Move+(Baby-Sitters+Club+(Pb))&hl=&cd=1&source=gbs_api,Graphix,2022-02,http://books.google.com/books?id=FKdZzgEACAAJ&dq=Dawn%27s+Big+Move+(Baby-Sitters+Club+(Pb))&hl=&source=gbs_api,['Juvenile Fiction'],,0613501942,,,,5/5,5.0,923616000,Bye Dawn!,"Dawn starts to miss her father, brother and friends in California so she decides to move back for six months. But she starts to worry that no one would miss her. This book is really funny. Especially the non-Dawn parts. I was laughing so hard that I was crying!"
Story of Helen Keller,"One of the great stories of human courage and dedication recounts life of a remarkable woman and her extraordinary relationship with her teacher, Anne Sullivan. Unforgettable portrait of one of the 20th century's outstanding women.",['Helen Keller'],http://books.google.com/books/content?id=uZO8AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=uZO8AQAAQBAJ&printsec=frontcover&dq=Story+of+Helen+Keller&hl=&cd=1&source=gbs_api,Courier Corporation,2012-04-27,https://play.google.com/store/books/details?id=uZO8AQAAQBAJ&source=gbs_api,['Literary Collections'],3.0,B000IOCUHE,,,,0/0,5.0,1159401600,I think this is a great book!,"I think the Story of Helen Keller is a great book because Helen is a talented young woman and is very brave and I think she is a fast learner. She always wanted to try something new like trying to talk with her voice even though she never learned to talk. The lesson I learned from the book is to always be brave and never give up. I recommend this book to children who want to understand what it's like to be blind, deaf, and mute.My name is Tori. I am 4 days away from being 10 years old and I love to write book reviews!"
Education of a wandering man,"From his decision to leave school at fifteen to roam the world, to his recollections of life as a hobo on the Southern Pacific Railroad, as a cattle skinner in Texas, as a merchant seaman in Singapore and the West Indies, and as an itinerant bare-knuckled prizefighter across small-town America, here is Louis L'Amour's memoir of his lifelong love affair with learning—from books, from yondering, and from some remarkable men and women—that shaped him as a storyteller and as a man. Like classic L'Amour fiction, Education of a Wandering Man mixes authentic frontier drama--such as the author's desperate efforts to survive a sudden two-day trek across the blazing Mojave desert--with true-life characters like Shanghai waterfront toughs, desert prospectors, and cowboys whom Louis L'Amour met while traveling the globe. At last, in his own words, this is a story of a one-of-a-kind life lived to the fullest . . . a life that inspired the books that will forever enable us to relive our glorious frontier heritage.","[""Louis L'Amour""]",http://books.google.com/books/content?id=x_4j_vuDHp0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=x_4j_vuDHp0C&printsec=frontcover&dq=Education+of+a+wandering+man&hl=&cd=1&source=gbs_api,Bantam,2008-04-29,https://play.google.com/store/books/details?id=x_4j_vuDHp0C&source=gbs_api,['Biography & Autobiography'],26.0,B0006RWJGK,,A29IEWBQHSVOY3,charles@runels.com,2/2,5.0,919814400,Wish I would have had this book when I was 15,"Do you want inspiration concerning the building of your own education? After several universities and more than one degree, this book inspired me to become a better student than I have been. http://www.runels.com"
Nourishing Wisdom : A New Understanding of Eating,"""Marc David eloquently describes the importance of addressing the emotional and spiritual aspects of our lives in order to truly nourish ourselves."" --Dean Ornish, M.D. Combining the principles of nutritional awareness, personal growth, and body psychology, Nourishing Wisdom provides practical methods for redefining the role food plays in our lives. Line drawings.",['Marc David'],http://books.google.com/books/content?id=eOxkz6rYf3IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=eOxkz6rYf3IC&printsec=frontcover&dq=Nourishing+Wisdom+:+A+New+Understanding+of+Eating&hl=&cd=1&source=gbs_api,Harmony,1994,http://books.google.com/books?id=eOxkz6rYf3IC&dq=Nourishing+Wisdom+:+A+New+Understanding+of+Eating&hl=&source=gbs_api,['Health & Fitness'],,B000NPZPIO,,A1REV3OCUA01G2,C. Valentini Katsu,14/15,5.0,1125360000,Nutritional Enlightenment,I have been fighting with my weight all my life. This book has taught me how to stop fighting uselessly against my body and start working with my whole self to achieve well-being. Really enlightening.
How to Deal with a Horse,,['Oscar Rudolph Gleason'],http://books.google.com/books/content?id=xxs-AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xxs-AQAAMAAJ&printsec=frontcover&dq=How+to+Deal+with+a+Horse&hl=&cd=1&source=gbs_api,,1890,https://play.google.com/store/books/details?id=xxs-AQAAMAAJ&source=gbs_api,['Dogs'],,0498013200,,A2L151ISW6RTFJ,Marc Kessler,0/0,4.0,1042848000,Fun with horses,"This is a clever little book with a British sense of humor. Captions are mostly tongue-in-cheek, with drawings showing the truth of the matter. Fun to read as well as to add to your collection."
Rules for Writers,,"['Diana Hacker', 'Nancy I. Sommers', 'Thomas Robert Jehn', 'Jane Rosenzweig']",http://books.google.com/books/content?id=jVBbwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=jVBbwgEACAAJ&dq=Rules+for+Writers&hl=&cd=1&source=gbs_api,Bedford/st Martins,2010-06-08,http://books.google.com/books?id=jVBbwgEACAAJ&dq=Rules+for+Writers&hl=&source=gbs_api,['Language Arts & Disciplines'],,0312184786,,A2RUR2Y3N1YZZG,"Patricia D. Brown ""pdbrsf""",5/6,5.0,1150761600,The best writing reference I've found for the SAT Writing Section,"I'm an SAT tutor, and I haven't been thrilled with many of the grammar/usage/writing SAT books on the market. They usually do a decent job on a few topics but not all topics. I'm getting this book for every one of my students (and my own son) because it will not only help them with the SAT writing section but it serves as the best ongoing reference for their use in school. I haven't tried the CD-ROM yet (sold separately) but it has over 1000 practice exercises."
Tales to Tease the Senses,,,,,,,,,,1401013961,20.99,AOZE692DCRFLF,P.A. Lynch,1/1,5.0,1018483200,An intriguing read,"As the write-up on the back cover of this book states, these stories really do tease the senses. I've never read such a collection of tales that spark the imagination. Each story has a surprise ending, and it's fun to see if you can outwit the writer and guess the endings. A really fun book for one's own enjoyment or as a gift to someone who may need a little uplifting and a chuckle or two."
Love and Awakening: Discovering the Sacred Path of Intimate Relationship,"Exploring the spiritual nature of intimate relationships, the author reveals the sacred power of different aspects of a couple's relationship, including ""The Power of Truth-Telling,"" ""Men in Relationship,"" and ""Soulwork and Sacred Combat""",['John Welwood'],http://books.google.com/books/content?id=56aouu3nnMsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=56aouu3nnMsC&q=Love+and+Awakening:+Discovering+the+Sacred+Path+of+Intimate+Relationship&dq=Love+and+Awakening:+Discovering+the+Sacred+Path+of+Intimate+Relationship&hl=&cd=1&source=gbs_api,Harpercollins,1996,http://books.google.nl/books?id=56aouu3nnMsC&dq=Love+and+Awakening:+Discovering+the+Sacred+Path+of+Intimate+Relationship&hl=&source=gbs_api,['Psychology'],1.0,0060927976,10.76,A12GZXHJ039U3Q,G. W. Bleyenberg,0/0,5.0,1249862400,How easy love can be,"All our life we have been trained in the romantic view to see love as difficult and painful, but here we see how easy and inspriring it can be. Leave all your troubles behind and come to see the truth behind them and love will be your guide on the path to clarity. It's amazing to see how John Welwood and his clients use the troubles in their relationships to reach another level of co-existence."
Flight of a Witch,"No case is too strange or too baffling for the policeman George Felse and his son, Dominic. Over 13 instalments and two decades, the Felse Investigations will take them from their home on the Welsh Borders to the southernmost tip of India. Annet Beck is hauntingly beautiful, which worries her parents so much that they guard her as closely as a prisoner... until the rainy Thursday in October when she disappears. Annet is last seen vanishing over the crest of the eerie Hallowmount, a hill said to be the abode of witches. Five days later she mysteriously reappears, claiming that she was gone for only two hours. Enchanted by her beauty, Annet's parents' lodger Tom Kenyon is determined to find the explanation for her disappearance: could it be deceit, amnesia or witchcraft? Tom's amateur investigations lead to nowhere until Detective Inspector George Felse finds cause to connect those missing five days with his enquiry into a death. The subsequent search takes the two men along a trail of betrayal, robbery and murder to a deadly confrontation among the ancient stones of Hallowmount...",['Ellis Peters'],http://books.google.com/books/content?id=Yv5HCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Yv5HCgAAQBAJ&printsec=frontcover&dq=Flight+of+a+Witch&hl=&cd=1&source=gbs_api,Head of Zeus,2015-08-10,https://play.google.com/store/books/details?id=Yv5HCgAAQBAJ&source=gbs_api,['Fiction'],2.0,B000QABHNI,26.6,A1N1YEMTI9DJ86,"S. Schwartz ""romonko""",2/2,3.0,1102204800,A Story About a Femme Fatale!,"This book about Anet Beck is more along the lines of a tragedy based on romance. It deals with a young femme fatale - Annet Beck who has all the neighbourhood boys after her. She keeps her own council, and does not open up to anyone, but when she is embroiled in a tragic death resulting from a jewellery store robbery, it is found out by George Felse that there are more than just the young boys and men that are after her, and it appears that she is returning the attention of one of her admirerers, and this admirer is one that is probably considerably older than her. A bit melodramatic perhaps, but written in the Ellis Peter style, so definitely a readable book - but not a mystery as we have come to expect from Ms. Peters."
The Cat Who Went To Paris,"Relating his travels with his cat, Norton, the author discusses rotisserie league baseball, Fire Island social life, real estate, Roman Polanski, romantic relationships, and Harrison Ford",['Peter Gethers'],http://books.google.com/books/content?id=1kC7wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=1kC7wAEACAAJ&dq=The+Cat+Who+Went+To+Paris&hl=&cd=1&source=gbs_api,Ballantine Books,1992,http://books.google.nl/books?id=1kC7wAEACAAJ&dq=The+Cat+Who+Went+To+Paris&hl=&source=gbs_api,['Biography & Autobiography'],1.0,0517585340,,A3H7ADUP07D93H,"J. Fuchs ""jax76""",8/10,5.0,1063065600,Comedy and literature from a reformed cat hater,"This book is a delight, regardless of one's feelings about cats, although cat lovers will take particular pleasure in Peter Gethers' transformation from avowed lifelong cat hater to, er, pussy-whipped cat partner for life. Gethers' writing sings, with lots of comedy and literary references as he uses his relationship with his Scottish Fold, Norton, as a wonderful excuse to make observations on the social habits of New Yorker, Parisians, Californians and others, and on the power of cute, furry creatures as chick bait. An easy but intelligent read, this is a great book for anyone appreciates cats or skillful writing."
It Can't Happen Here (Audio Book),"“What makes Trump immune is that he is not a president within the context of a healthy Republican government. He is a cult leader of a movement that has taken over a political party – and he specifically campaigned on a platform of one-man rule. This fact permeates “Can It Happen Here? . . . which concludes, if you read between the lines, that “it” already has.” – New York Times Book Review ""Several of the contributors...agree that American politics is susceptible to creeping authoritarianism and provide the intellectual underpinning."" – Washington Post With the election of Donald J. Trump, many people on both the left and right feared that America’s 240-year-old grand experiment in democracy was coming to an end, and that Sinclair Lewis’ satirical novel, It Can’t Happen Here, written during the dark days of the 1930s, could finally be coming true. Is the democratic freedom that the United States symbolizes really secure? Can authoritarianism happen in America? Acclaimed legal scholar, Harvard Professor, and New York Times bestselling author Cass R. Sunstein queried a number of the nation’s leading thinkers. In this thought-provoking collection of essays, these distinguished thinkers and theorists explore the lessons of history, how democracies crumble, how propaganda works, and the role of the media, courts, elections, and ""fake news"" in the modern political landscape—and what the future of the United States may hold. Contributors include: Martha Minow, dean of Harvard Law School Eric Posner, law professor at the University of Chicago Law School Tyler Cowen, economics professor at George Mason University Timur Kuran, economics and political science professor at Duke University Noah Feldman, professor of law at Harvard Law School Jonathan Haidt, social psychologist and Professor of Ethical Leadership at New York University’s Stern School of Business Jack Goldsmith, Professor at Harvard Law School, Senior Fellow at the Hoover Institution, and co-founder of Lawfare Stephen Holmes, Professor of Law at New York University Jon Elster, Professor of the Social Sciences at Columbia University Thomas Ginsburg, Professor of International Law and Professor of Political Science at the University of Chicago and a member of the American Academy of Arts and Sciences Cass R. Sunstein, Robert Walmsley University Professor, Harvard University Duncan Watts, sociologist and principal researcher at Microsoft Research Geoffrey R. Stone, University of Chicago Law school professor and noted First Amendment scholar",['Cass R. Sunstein'],http://books.google.com/books/content?id=g46-tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=g46-tAEACAAJ&dq=It+Can%27t+Happen+Here+(Audio+Book)&hl=&cd=1&source=gbs_api,Dey Street Books,2018-03-06,http://books.google.com/books?id=g46-tAEACAAJ&dq=It+Can%27t+Happen+Here+(Audio+Book)&hl=&source=gbs_api,['Political Science'],2.0,9998723809,,A2X6RCSBEFDFYT,Dawn E. Stewart,1/1,5.0,1341619200,An American Classic,"This book should be read by every American, particularly in this time of crises in the United States. This novel keeps the readers' interest throughout and gives him/her a lot to contemplate. It's easy, fast reading and shows the way a totalitarian state can emerge from the apathy of the American public."
BAMBI (A LITTLE GOLDEN BOOK) PAPERBACK,,,,http://books.google.com/books?id=OVhWzQEACAAJ&dq=BAMBI+(A+LITTLE+GOLDEN+BOOK)+PAPERBACK&hl=&cd=1&source=gbs_api,,2008,http://books.google.com/books?id=OVhWzQEACAAJ&dq=BAMBI+(A+LITTLE+GOLDEN+BOOK)+PAPERBACK&hl=&source=gbs_api,,,B000NHYHYK,,A1MC6BFHWY6WC3,D. Blankenship,6/6,5.0,1158796800,THIS IS NOT UNCLE WALT'S VERSION,"I love this work. This of course the the story that was made into the now classic animated Disney film. This not not like the Disney film at all. Now I am rather fond of the film and can remember my mother taking it to it shortly after the war (WWII) and of course have since taken my children and grandchildren to see the same. This book/story though, is far superior in my opinion. Actually, read as an adult, it is quite profound, dealing with quite a number of issues. Relationships between parent and child, child and peers and nature and man. I do not feel you can classify this work as an antihunting story. It more or less puts and keeps man in his place in the big picture of things, for better or for worse. Like another reviewer, I was particularly fascinated with Bambi's friend who became a ""pet of man."" There is a lesson here as to following ones nature. I am not sure I completely understand the message, but know it is there. Yes, this work does deal with death and dying and yes there is sad parts. I personally don't feel children should be sheltered from such things completely as they all will eventually have to face the same feelings and dilemmas. I hate to use the word ""classic"" as it is quite often over used, but know of no other way to describe this one. I do highly recommend it."
The Blue Bottle Club,,,,,,,,,,0849937809,,,,0/0,4.0,938390400,An interesting account of renewed friendships,"Penelope Stokes' characters captured my attention from the beginning. The author made me care about what happened to each one of her characters. My only reservation about the story was the fact that of six women who were major players in the book, only one of them had a positive, important romantic relationship in her life and even that came late in life and was rather short-lived. To me that seemed very unrealistic. However, the book was well-written and kept my interest to the end."
